gene_short_name	gene_id	locus	s_1_NR_A_FPKM	s_2_NR_B_FPKM	s_3_CR_A_FPKM	s_4_CR_B_FPKM
CSR1	YLR380W	ref|NC_001144|:878281-879508	114.275	65.8178	27.6459	15.7843
CSR2	YPR030W	ref|NC_001148|:627879-631245	19.9062	21.0828	251.853	165.189
CST26	YBR042C	ref|NC_001134|:320415-321609	31.7355	32.1127	28.6927	17.303
CST6	YIL036W	ref|NC_001141|:285665-287429	62.8999	65.981	231.84	274.319
CST9	YLR394W	ref|NC_001144|:907949-909398	11.2281	9.31345	15.3373	10.8533
CTA1	YDR256C	ref|NC_001136|:968132-969680	21.7773	23.5751	716.389	1093.65
CTF13	YMR094W	ref|NC_001145|:455824-457261	20.5489	18.2614	14.6206	14.0563
CTF18	YMR078C	ref|NC_001145|:422502-424728	29.9152	25.5532	24.8934	17.7291
CTF19	YPL018W	ref|NC_001148|:517650-518760	21.7358	20.597	33.4395	43.4135
CTF3	YLR381W	ref|NC_001144|:879722-881924	14.885	14.5902	20.8798	21.1839
CTF4	YPR135W	ref|NC_001148|:799233-802017	39.5969	31.1692	25.1115	21.4354
CTF8	YHR191C	ref|NC_001140|:486229-486631	74.0954	79.4607	82.9429	78.3226
CTH1	YDR151C	ref|NC_001136|:764177-765155	106.533	147.709	132.839	108.519
CTI6	YPL181W	ref|NC_001148|:203420-204941	138.805	155.56	209.044	170.79
CTK1	YKL139W	ref|NC_001143|:182957-184544	18.612	17.2169	22.2278	16.1333
CTK2	YJL006C	ref|NC_001142|:423137-424109	34.7384	21.6623	24.7645	36.9015
CTK3	YML112W	ref|NC_001145|:45062-45953	38.7355	35.7939	45.2481	42.7467
CTL1	YMR180C	ref|NC_001145|:622250-623213	85.2637	106.469	79.198	77.5614
CTM1	YHR109W	ref|NC_001140|:330309-332067	7.78472	6.52466	8.03748	9.78769
CTP1	YBR291C	ref|NC_001134|:783672-784572	35.7244	33.0067	30.4651	35.2954
CTR1	YPR124W	ref|NC_001148|:786207-787428	34.8759	23.0474	17.1425	11.5655
CTR2	YHR175W	ref|NC_001140|:452871-453441	44.7002	41.1739	133.277	164.106
CTR3	YLR411W	ref|NC_001144|:947252-947978	26.8397	25.4119	26.3965	20.7052
CTR86	YCR054C	ref|NC_001135|:218375-220067	18.3828	12.9938	8.64426	9.90657
CTR9	YOL145C	ref|NC_001147|:49554-52788	154.985	127.94	123.483	116.11
CTS1	YLR286C	ref|NC_001144|:708447-710136	327.722	209.731	351.686	265.267
CTS2	YDR371W	ref|NC_001136|:1219412-1220948	27.1988	28.9591	57.7927	38.7112
CTT1	YGR088W	ref|NC_001139|:654633-656322	179.696	198.242	513.851	420.06
CUE1	YMR264W	ref|NC_001145|:795804-796416	197.29	186.799	242.166	219.57
CUE2	YKL090W	ref|NC_001143|:271877-273209	29.7898	32.7744	36.2994	39.3619
CUE3	YGL110C	ref|NC_001139|:301536-303411	90.818	86.3217	78.0763	81.2001
CUE4	YML101C	ref|NC_001145|:69734-70088	71.9732	59.1869	194.46	210.305
CUE5	YOR042W	ref|NC_001147|:408424-409660	416.925	394.921	512.585	330.404
CUL3	YGR003W	ref|NC_001139|:500131-502366	35.1105	22.3463	15.9556	13.4386
CUP1-1	YHR053C	ref|NC_001140|:212534-212720	0	0	0	0
CUP1-2	YHR055C	ref|NC_001140|:214532-214718	0	0	0	0
CUP2	YGL166W	ref|NC_001139|:191128-191806	65.6169	68.7197	107.437	95.2741
CUP9	YPL177C	ref|NC_001148|:213041-213962	21.5099	20.2696	49.4845	62.232
CUR1	YPR158W	ref|NC_001148|:843261-844020	87.5982	155.796	102.575	101.154
CUS1	YMR240C	ref|NC_001145|:749929-751240	51.4211	43.6755	42.9993	45.8585
CUS2	YNL286W	ref|NC_001146|:95222-96080	113.643	120.673	85.8742	102.27
CWC15	YDR163W	ref|NC_001136|:781422-781950	152.617	146.266	129.783	157.323
CWC2	YDL209C	ref|NC_001136|:86206-87226	19.9302	15.4316	12.2321	9.16859
CWC21	YDR482C	ref|NC_001136|:1420430-1420838	148.461	128.91	236.68	138.714
CWC22	YGR278W	ref|NC_001139|:1046730-1048464	48.9345	46.7063	39.8602	49.1221
CWC23	YGL128C	ref|NC_001139|:269292-270144	55.481	43.8146	47.0512	60.586
CWC24	YLR323C	ref|NC_001144|:778172-778952	34.2404	31.7834	33.8362	34.3888
CWC25	YNL245C	ref|NC_001146|:186345-186885	226.939	203.284	163.618	187.95
CWC27	YPL064C	ref|NC_001148|:428710-429616	144.788	151.678	177.798	224.438
CWH41	YGL027C	ref|NC_001139|:443641-446143	283.04	210.562	101.285	69.4172
CWH43	YCR017C	ref|NC_001135|:144772-147634	87.3132	94.1624	109.13	94.0237
CWP1	YKL096W	ref|NC_001143|:261131-261851	150.018	119.393	427.013	147.833
CWP2	YKL096W-A	ref|NC_001143|:259252-259531	4907.26	4269.12	3104.65	1014.98
CYB2	YML054C	ref|NC_001145|:165532-167308	15.3057	17.7545	446.035	573.59
CYB5	YNL111C	ref|NC_001146|:416939-417302	90.7452	74.6789	51.8086	21.8305
CYC1	YJR048W	ref|NC_001142|:526334-526664	228.934	231.647	167.225	103.364
CYC2	YOR037W	ref|NC_001147|:401554-402655	23.525	24.259	37.7015	38.5419
CYC3	YAL039C	ref|NC_001133|:68715-69525	65.3688	61.889	153.269	78.5294
CYC7	YEL039C	ref|NC_001137|:79635-79977	151.385	219.132	329.528	346.144
CYC8	YBR112C	ref|NC_001134|:462869-465770	37.1637	34.7157	47.3979	26.1492
CYK3	YDL117W	ref|NC_001136|:248580-251238	27.4566	24.8903	23.4865	14.0349
CYM1	YDR430C	ref|NC_001136|:1325500-1328470	47.8744	40.4477	48.6056	46.4092
CYR1	YJL005W	ref|NC_001142|:425156-431237	82.1145	92.9223	127.381	103.062
CYS3	YAL012W	ref|NC_001133|:130798-131983	213.362	160.717	124.961	89.7446
CYS4	YGR155W	ref|NC_001139|:798542-800066	832.374	858.372	394.175	343.884
CYT1	YOR065W	ref|NC_001147|:447438-448368	464.391	712.08	493.397	460.002
CYT2	YKL087C	ref|NC_001143|:277188-277863	87.2379	104.637	121.97	52.7675
DAD1	YDR016C	ref|NC_001136|:478473-478758	177.634	195.652	356.895	415.927
DAD2	YKR083C	ref|NC_001143|:596420-596822	167.351	198.38	217.506	241.617
DAD3	YBR233W-A	ref|NC_001134|:684976-685261	144.352	115.528	179.591	109.834
DAD4	YDR320C-A	ref|NC_001136|:1108279-1108498	542.717	534.716	636.282	875.48
DAK1	YML070W	ref|NC_001145|:133474-135229	329.389	299.185	350.01	353.053
DAK2	YFL053W	ref|NC_001138|:23422-25198	4.53185	4.59731	23.6626	19.4081
DAL1	YIR027C	ref|NC_001141|:406259-407642	3.47716	2.40151	5.62325	5.34204
DAL2	YIR029W	ref|NC_001141|:410806-411838	22.8067	20.8418	38.4437	40.7013
DAL3	YIR032C	ref|NC_001141|:415029-415617	25.9833	37.2789	50.8773	40.0055
DAL4	YIR028W	ref|NC_001141|:408467-410375	6.86286	6.15609	7.126	6.99938
DAL5	YJR152W	ref|NC_001142|:719665-721297	7.4126	7.08143	12.6069	14.186
DAL7	YIR031C	ref|NC_001141|:413014-414679	30.1615	38.791	32.4185	27.6577
DAL80	YKR034W	ref|NC_001143|:506897-507707	0.457213	0.537977	1.68272	2.21599
DAL81	YIR023W	ref|NC_001141|:399776-402689	25.396	18.9898	19.8847	19.6525
DAL82	YNL314W	ref|NC_001146|:44446-45214	26.1521	23.5678	42.6557	52.4231
DAM1	YGR113W	ref|NC_001139|:718892-719924	99.0996	105.74	79.6163	109.4
DAN1	YJR150C	ref|NC_001142|:708810-709707	2.08486	2.87919	4.29933	2.67473
DAN4	YJR151C	ref|NC_001142|:712254-715740	6.3177	5.62852	5.13754	4.26031
DAP1	YPL170W	ref|NC_001148|:228313-228772	155.823	156.648	292.679	244.431
DAP2	YHR028C	ref|NC_001140|:164977-167434	124.742	118.891	171.586	170.415
DAS1	YJL149W	ref|NC_001142|:137378-139370	14.1907	13.5949	16.3032	20.7737
DAS2	YDR020C	ref|NC_001136|:485745-486444	45.0002	37.0373	18.1059	12.4509
DAT1	YML113W	ref|NC_001145|:44044-44791	17.0776	10.2286	17.5574	10.3225
DBF2	YGR092W	ref|NC_001139|:668188-669907	78.1209	78.6382	72.7733	54.326
DBF20	YPR111W	ref|NC_001148|:747305-749000	14.8074	11.3761	23.6989	26.0348
DBF4	YDR052C	ref|NC_001136|:558510-560625	40.9158	38.1572	58.7807	63.5086
DBP1	YPL119C	ref|NC_001148|:324410-326264	21.5474	19.6773	46.5631	59.9256
DBP10	YDL031W	ref|NC_001136|:394216-397204	248.178	154.394	44.108	33.4476
DBP2	YNL112W	ref|NC_001146|:413638-416281	417.276	244.515	49.8354	21.1224
DBP3	YGL078C	ref|NC_001139|:360287-361859	238.591	163.353	65.2908	29.9428
DBP5	YOR046C	ref|NC_001147|:414458-415907	105.614	90.9252	62.3266	37.4393
DBP6	YNR038W	ref|NC_001146|:695594-697484	19.5128	10.7802	16.7901	10.121
DBP7	YKR024C	ref|NC_001143|:485143-487372	19.5489	10.2274	5.51823	5.1399
DBP8	YHR169W	ref|NC_001140|:442180-443476	33.1719	15.8038	11.9605	6.44251
DBP9	YLR276C	ref|NC_001144|:695045-696830	196.12	122.722	41.8571	29.2714
DBR1	YKL149C	ref|NC_001143|:167611-168829	40.0313	33.0547	139.725	177.878
DCC1	YCL016C	ref|NC_001135|:94620-95763	24.1906	18.6082	32.8158	28.9932
DCD1	YHR144C	ref|NC_001140|:387787-388726	18.2403	13.1333	11.2153	6.89728
DCG1	YIR030C	ref|NC_001141|:412035-412770	8.92153	9.74879	8.83676	7.90625
DCI1	YOR180C	ref|NC_001147|:674351-675167	11.2547	11.6309	74.3622	147.638
DCN1	YLR128W	ref|NC_001144|:398529-399433	42.0267	41.6004	30.0311	31.4339
DCP1	YOL149W	ref|NC_001147|:44937-45633	97.446	104.665	125.899	114.693
DCP2	YNL118C	ref|NC_001146|:402651-405564	137.299	131.731	130.845	190.65
DCR2	YLR361C	ref|NC_001144|:847387-849124	43.7755	38.3845	37.3058	39.9094
DCS1	YLR270W	ref|NC_001144|:681185-682238	195.747	247.231	489.744	429.556
DCS2	YOR173W	ref|NC_001147|:657263-658325	134.367	171.748	955.275	906.396
DCW1	YKL046C	ref|NC_001143|:351274-352624	251.436	270.807	183.175	120.46
DDC1	YPL194W	ref|NC_001148|:179276-181115	11.1603	10.4072	12.8638	11.3109
DDI1	YER143W	ref|NC_001137|:456318-457605	176.577	137.167	226.157	255.655
DDI2	YFL061W	ref|NC_001138|:9544-10222	0	0.056879	0	0
DDI3	YNL335W	ref|NC_001146|:11451-12129	0.0708797	0	0	0
DDP1	YOR163W	ref|NC_001147|:642740-643307	199.712	159.595	237.161	256.251
DDR2	YOL052C-A	ref|NC_001147|:231569-231755	1368.65	1418.12	10757.3	6075.08
DDR48	YMR173W	ref|NC_001145|:608688-609981	693.693	709.797	360.769	213.419
DED1	YOR204W	ref|NC_001147|:722910-724725	195.072	169.892	80.2344	57.5735
DED81	YHR019C	ref|NC_001140|:141893-143558	478.228	382.362	322.162	184.503
DEF1	YKL054C	ref|NC_001143|:336536-338753	159.56	130.655	267.169	134.678
DEG1	YFL001W	ref|NC_001138|:147130-148459	40.2338	31.3277	21.3433	14.3335
DEP1	YAL013W	ref|NC_001133|:129269-130487	112.737	116.183	285.671	209.77
DER1	YBR201W	ref|NC_001134|:623575-624211	50.8606	73.3283	37.9854	27.24
DET1	YDR051C	ref|NC_001136|:557055-558060	96.4827	108.899	88.8091	93.2632
DFG10	YIL049W	ref|NC_001141|:260157-260919	39.68	36.8189	23.982	23.6519
DFG16	YOR030W	ref|NC_001147|:386824-388684	34.4362	31.868	47.489	44.0631
DFG5	YMR238W	ref|NC_001145|:746352-747729	54.716	46.6436	73.9842	43.9069
DFM1	YDR411C	ref|NC_001136|:1293368-1294394	91.2386	87.2888	59.9894	47.4646
DFR1	YOR236W	ref|NC_001147|:780905-781541	22.0863	22.2169	16.3205	11.2682
DGA1	YOR245C	ref|NC_001147|:794075-795332	38.3893	33.2903	41.8085	47.7857
DGK1	YOR311C	ref|NC_001147|:899055-899928	42.4394	35.467	41.5292	31.8459
DGR1	YNL130C-A	ref|NC_001146|:381244-381391	330.267	747.444	164.527	221.978
DGR2	YKL121W	ref|NC_001143|:214141-216700	14.7691	14.4855	40.4803	42.8123
DHH1	YDL160C	ref|NC_001136|:170409-171930	205.678	242.447	144.933	161.921
DHR2	YKL078W	ref|NC_001143|:288844-291052	25.8408	20.3193	13.3453	4.93741
DIA1	YMR316W	ref|NC_001145|:904824-905835	117.085	141.476	110.345	129.864
DIA2	YOR080W	ref|NC_001147|:474593-476792	47.7541	44.4716	35.8104	47.0778
DIA3	YDL024C	ref|NC_001136|:408450-409857	10.2844	9.56193	15.8908	23.7686
DIA4	YHR011W	ref|NC_001140|:127779-129120	31.7706	29.9299	31.6662	23.7288
DIB1	YPR082C	ref|NC_001148|:704224-704656	221.107	203.91	215.198	195.912
DIC1	YLR348C	ref|NC_001144|:826976-827873	136.582	148.876	613.6	328.812
DID2	YKR035W-A	ref|NC_001143|:507938-508553	222.184	210.004	298.522	165.228
DID4	YKL002W	ref|NC_001143|:437777-438544	309.979	337.421	340.651	386.34
DIE2	YGR227W	ref|NC_001139|:947419-948997	10.5164	7.86998	8.60236	5.81936
DIF1	YLR437C	ref|NC_001144|:1011621-1012023	267.897	267.636	271.381	149.884
DIG1	YPL049C	ref|NC_001148|:462480-463839	135.517	122.687	106.718	77.0578
DIG2	YDR480W	ref|NC_001136|:1417398-1418370	38.326	38.9008	49.0117	39.4314
DIM1	YPL266W	ref|NC_001148|:39120-40077	111.69	73.1205	41.6785	19.011
DIN7	YDR263C	ref|NC_001136|:994241-995534	12.1266	13.8912	11.0814	9.24945
DIP2	YLR129W	ref|NC_001144|:399656-402488	56.3158	43.0779	29.1035	13.8196
DIP5	YPL265W	ref|NC_001148|:41042-42869	58.0982	63.636	574.217	512.921
DIS3	YOL021C	ref|NC_001147|:282420-285426	64.8362	53.7712	55.7624	37.6807
DIT1	YDR403W	ref|NC_001136|:1274601-1276212	10.1265	11.576	11.4714	10.9848
DIT2	YDR402C	ref|NC_001136|:1272233-1273703	5.0732	4.85698	4.96317	5.39976
DJP1	YIR004W	ref|NC_001141|:363220-364519	210.025	175.114	198.032	173.961
DLD1	YDL174C	ref|NC_001136|:145825-147589	134.696	139.36	550.67	643.675
DLD2	YDL178W	ref|NC_001136|:139521-141114	170.414	152.885	83.0746	41.7107
DLD3	YEL071W	ref|NC_001137|:16354-17845	172.821	210.258	375.552	285.09
DLS1	YJL065C	ref|NC_001142|:315053-315557	67.059	51.54	109.363	88.9328
DLT1	YMR126C	ref|NC_001145|:520760-521789	21.7085	20.983	34.9117	44.0165
DMA1	YHR115C	ref|NC_001140|:340108-341359	52.7948	49.6034	74.918	91.1701
DMA2	YNL116W	ref|NC_001146|:408340-409909	16.8387	15.5869	35.0183	30.4667
DMC1	YER179W	ref|NC_001137|:548420-549517	20.8906	24.9442	455.701	366.528
DML1	YMR211W	ref|NC_001145|:689082-690510	42.9649	38.9944	30.2474	38.2275
DNA2	YHR164C	ref|NC_001140|:424609-429178	21.2415	19.0227	20.4524	20.929
DNF1	YER166W	ref|NC_001137|:512743-517459	70.5939	52.837	70.3427	66.7354
DNF2	YDR093W	ref|NC_001136|:631281-636120	55.9802	47.1361	59.1561	48.7596
DNF3	YMR162C	ref|NC_001145|:578950-583921	40.5219	37.7676	67.0237	49.2411
DNL4	YOR005C	ref|NC_001147|:334508-337343	22.0459	23.2159	32.8551	32.9391
DNM1	YLL001W	ref|NC_001144|:147889-150163	47.3714	57.1646	116.651	100.024
DOA1	YKL213C	ref|NC_001143|:31959-34107	175.059	166.17	227.946	158.266
DOA4	YDR069C	ref|NC_001136|:584938-587719	33.2793	38.0598	85.3668	68.81
DOC1	YGL240W	ref|NC_001139|:48612-49365	55.0181	57.705	39.9769	44.9877
DOG1	YHR044C	ref|NC_001140|:194067-194808	14.8283	17.5225	15.8117	16.1349
DOG2	YHR043C	ref|NC_001140|:192804-193545	123.444	169.702	251.323	251.713
DOM34	YNL001W	ref|NC_001146|:627455-628616	88.6927	66.3552	46.5466	66.7208
DON1	YDR273W	ref|NC_001136|:1010175-1011273	83.9668	79.325	94.6254	68.624
DOP1	YDR141C	ref|NC_001136|:734900-739997	53.5515	45.6356	46.5245	51.4744
DOS2	YDR068W	ref|NC_001136|:583712-584645	413.808	430.602	203.229	274.516
DOT1	YDR440W	ref|NC_001136|:1342492-1344241	16.7476	14.6089	20.6206	15.4826
DOT5	YIL010W	ref|NC_001141|:334881-335529	70.6733	77.237	84.2623	109.838
DOT6	YER088C	ref|NC_001137|:333175-335188	194.624	134.356	129.018	126.603
DPB11	YJL090C	ref|NC_001142|:262756-265051	22.2747	19.345	24.6896	28.4026
DPB2	YPR175W	ref|NC_001148|:888973-891043	22.6552	33.9902	14.3056	7.69645
DPB3	YBR278W	ref|NC_001134|:760293-760899	119.156	117.132	91.3291	108.144
DPB4	YDR121W	ref|NC_001136|:693584-694175	258.514	195.26	158.313	174.937
DPH1	YIL103W	ref|NC_001141|:171750-173028	69.5519	56.5917	31.5583	27.7407
DPH2	YKL191W	ref|NC_001143|:81034-82639	21.7309	10.9519	30.5738	14.6825
DPH5	YLR172C	ref|NC_001144|:501259-502162	187.902	146.08	111.498	73.5787
DPL1	YDR294C	ref|NC_001136|:1050458-1052228	163.235	145.181	182.558	171.249
DPM1	YPR183W	ref|NC_001148|:900754-901558	823.291	627.369	439.37	272.707
DPP1	YDR284C	ref|NC_001136|:1030549-1031419	144.742	156.677	129.771	140.062
DPS1	YLL018C	ref|NC_001144|:109901-111575	646.84	667.476	242.368	210.722
DRE2	YKR071C	ref|NC_001143|:574933-575980	75.5734	69.7295	84.2084	98.1282
DRS1	YLL008W	ref|NC_001144|:131728-133987	118.312	69.7465	29.4843	18.0857
DRS2	YAL026C	ref|NC_001133|:95629-99697	46.3361	41.3146	30.9851	34.1041
DSD1	YGL196W	ref|NC_001139|:129882-131169	131.836	164.879	136.235	107.009
DSE1	YER124C	ref|NC_001137|:407341-409063	272.329	172.918	266.275	243.403
DSE2	YHR143W	ref|NC_001140|:385509-386487	170.349	135.028	96.8467	43.9155
DSE3	YOR264W	ref|NC_001147|:818865-820158	91.5115	68.442	195.586	222.913
DSE4	YNR067C	ref|NC_001146|:755745-759099	53.4916	37.7546	22.0735	14.2099
DSF1	YEL070W	ref|NC_001137|:19588-21097	0.231748	0.185971	1.73151	1.16379
DSF2	YBR007C	ref|NC_001134|:248805-251016	12.2564	12.1734	9.50223	9.31475
DSK2	YMR276W	ref|NC_001145|:818826-819948	214.789	111.647	151.874	85.6603
DSL1	YNL258C	ref|NC_001146|:158108-160373	173.095	134.22	75.8336	133.958
DSN1	YIR010W	ref|NC_001141|:375430-377161	23.0188	19.0724	39.5807	49.2918
DSS1	YMR287C	ref|NC_001145|:842435-845345	19.1374	16.7823	19.5099	17.1522
DSS4	YPR017C	ref|NC_001148|:593485-593917	68.3501	75.1809	74.9983	117.782
DST1	YGL043W	ref|NC_001139|:417482-418412	126.884	93.7994	81.2565	69.7204
DTD1	YDL219W	ref|NC_001136|:65241-65765	169.828	150.679	63.2947	55.8551
DTR1	YBR180W	ref|NC_001134|:589740-591459	4.59143	4.77026	2.40939	2.62416
DUG1	YFR044C	ref|NC_001138|:239991-241437	619.361	562.697	441.439	287.182
DUG2	YBR281C	ref|NC_001134|:764969-767606	33.4671	36.2777	58.9933	53.2365
DUG3	YNL191W	ref|NC_001146|:280431-281505	34.992	32.2332	238.936	209.907
DUN1	YDL101C	ref|NC_001136|:280306-281848	35.1104	34.3422	24.3672	18.9126
DUO1	YGL061C	ref|NC_001139|:388967-389711	27.8119	22.518	20.3675	17.2859
DUR1%2C2	YBR208C	ref|NC_001134|:636702-642210	22.9617	42.6282	32.9376	21.8015
DUR3	YHL016C	ref|NC_001140|:72036-74244	11.0674	22.5397	14.5721	11.6469
DUS1	YML080W	ref|NC_001145|:108805-110077	31.0541	15.9569	10.3925	4.64246
DUS3	YLR401C	ref|NC_001144|:922441-924448	171.715	97.0328	51.9071	37.8493
DUS4	YLR405W	ref|NC_001144|:929788-930892	45.0264	36.4021	36.4723	21.4897
DUT1	YBR252W	ref|NC_001134|:722610-723054	125.812	113.875	152.016	55.9021
DYN1	YKR054C	ref|NC_001143|:535646-547925	23.6096	21.1884	13.6415	13.402
DYN2	YDR424C	ref|NC_001136|:1319386-1319841	993.127	889.318	1036.7	838.215
DYN3	YMR299C	ref|NC_001145|:864411-865350	107.751	104.296	32.227	42.4168
DYS1	YHR068W	ref|NC_001140|:232132-233296	256.216	257.991	136.565	56.974
EAF1	YDR359C	ref|NC_001136|:1191935-1194884	21.6735	18.1432	29.1645	25.3799
EAF3	YPR023C	ref|NC_001148|:608825-610031	114.925	110.389	265.574	316.306
EAF5	YEL018W	ref|NC_001137|:121470-122310	123.95	100.839	124.946	82.3621
EAF6	YJR082C	ref|NC_001142|:581913-582255	102.855	97.2629	81.8913	87.6192
EAF7	YNL136W	ref|NC_001146|:370367-371645	459.8	501.116	168.681	257.901
EAP1	YKL204W	ref|NC_001143|:53703-55602	56.5425	49.3352	56.5488	70.036
EAR1	YMR171C	ref|NC_001145|:603867-605520	39.2624	33.6658	100.782	113.292
EBP2	YKL172W	ref|NC_001143|:125758-127042	2210.81	1877.43	199.747	163.679
EBS1	YDR206W	ref|NC_001136|:862053-864708	38.1435	32.1274	35.3083	31.6946
ECI1	YLR284C	ref|NC_001144|:706197-707040	38.8052	63.0396	442.906	690.089
ECL1	YGR146C	ref|NC_001139|:784222-784858	70.0695	71.144	156.769	105.445
ECM1	YAL059W	ref|NC_001133|:36508-37147	34.1942	26.821	24.3721	10.8314
ECM10	YEL030W	ref|NC_001137|:94643-96578	13.819	13.7223	14.3898	19.1714
ECM11	YDR446W	ref|NC_001136|:1353724-1354633	0.57192	0.420704	0.281745	0.316772
ECM12	YHR021W-A	ref|NC_001140|:149224-149680	14.7841	10.2857	9.89469	8.5802
ECM13	YBL043W	ref|NC_001134|:136687-137461	20.454	26.9147	85.6768	56.9645
ECM14	YHR132C	ref|NC_001140|:368501-369794	108.553	93.425	214.856	216.921
ECM15	YBL001C	ref|NC_001134|:237152-237467	630.472	712.866	1416.22	1266.56
ECM16	YMR128W	ref|NC_001145|:523695-527499	239.843	153.042	25.7847	26.2263
ECM18	YDR125C	ref|NC_001136|:701396-702758	24.6654	26.3134	27.7684	30.0682
ECM19	YLR390W	ref|NC_001144|:903065-903404	122.784	126.032	204.052	138.471
ECM2	YBR065C	ref|NC_001134|:368583-369678	41.1819	33.8039	27.31	40.4808
ECM21	YBL101C	ref|NC_001134|:24945-28299	15.8533	17.2421	37.312	42.2327
ECM22	YLR228C	ref|NC_001144|:600018-602463	24.7576	23.2367	61.4655	77.7408
ECM23	YPL021W	ref|NC_001148|:511100-511664	2.70617	3.07022	1.9997	2.4809
ECM25	YJL201W	ref|NC_001142|:54378-56178	24.2556	20.8161	28.1144	33.9922
ECM27	YJR106W	ref|NC_001142|:624837-627015	21.7392	20.9013	21.9638	17.651
ECM29	YHL030W	ref|NC_001140|:40083-45690	27.3117	30.0377	49.7536	42.9158
ECM3	YOR092W	ref|NC_001147|:495126-496968	34.2402	27.839	18.5706	14.4809
ECM30	YLR436C	ref|NC_001144|:1007420-1011245	33.2253	28.1742	90.8684	53.4006
ECM31	YBR176W	ref|NC_001134|:583719-584658	19.1089	17.0219	24.1195	15.7392
ECM32	YER176W	ref|NC_001137|:541689-545055	84.0247	80.1863	43.1391	48.9738
ECM33	YBR078W	ref|NC_001134|:393122-394742	251.185	230.148	179.735	49.5215
ECM34	YHL043W	ref|NC_001140|:14900-15413	27.9386	28.9627	35.185	38.8006
ECM38	YLR299W	ref|NC_001144|:726068-728051	37.7333	43.8448	108.955	79.3339
ECM4	YKR076W	ref|NC_001143|:582282-583395	51.3454	56.2725	180.174	178.815
ECM5	YMR176W	ref|NC_001145|:611739-615975	29.6469	26.4327	25.264	24.7681
ECM7	YLR443W	ref|NC_001144|:1022624-1023971	16.4757	15.0899	33.7084	15.4753
ECM8	YBR076W	ref|NC_001134|:390226-391291	22.5181	21.3898	14.8228	28.1954
ECM9	YKR004C	ref|NC_001143|:446798-448036	41.9121	50.218	30.1163	44.0187
ECO1	YFR027W	ref|NC_001138|:207451-208297	18.0036	16.7572	27.226	28.3846
ECT1	YGR007W	ref|NC_001139|:506968-507940	164.898	177.09	133.295	87.5865
EDC1	YGL222C	ref|NC_001139|:80658-81186	108.035	89.8562	215.131	258.14
EDC2	YER035W	ref|NC_001137|:222638-223076	288.213	319.511	871.832	670.558
EDC3	YEL015W	ref|NC_001137|:126628-128284	182.16	168.093	167.509	166.634
EDE1	YBL047C	ref|NC_001134|:127894-132040	92.1051	85.4117	188.13	141.043
EDS1	YBR033W	ref|NC_001134|:301943-304703	18.7353	19.719	24.5992	26.1807
EEB1	YPL095C	ref|NC_001148|:368070-369441	164.617	174.548	21.3625	21.3582
EFB1	YAL003W	ref|NC_001133|:142173-143160	800.091	824.431	1186.49	471.218
EFG1	YGR271C-A	ref|NC_001139|:1037799-1038501	358.238	227.436	33.7004	43.3159
EFM1	YHL039W	ref|NC_001140|:21782-23540	54.039	40.3453	23.6171	18.21
EFR3	YMR212C	ref|NC_001145|:690694-693043	47.6109	47.8617	65.397	46.2433
EFT1	YOR133W	ref|NC_001147|:575097-577626	6.98118	7.92195	4.64603	1.60432
EFT2	YDR385W	ref|NC_001136|:1243229-1245758	6.89446	5.50941	2.55265	1.16241
EGD1	YPL037C	ref|NC_001148|:481427-481901	687.462	701.316	636.695	253.432
EGD2	YHR193C	ref|NC_001140|:487711-488236	1078.93	904.353	598.915	391.731
EGT2	YNL327W	ref|NC_001146|:24047-27173	54.8936	32.8741	41.923	40.651
EHD3	YDR036C	ref|NC_001136|:523210-524713	25.9722	19.6379	53.7146	37.121
EHT1	YBR177C	ref|NC_001134|:584806-586162	216.263	244.577	177.973	258.851
EIS1	YMR031C	ref|NC_001145|:332211-334743	230.353	223.315	753.408	469.375
EKI1	YDR147W	ref|NC_001136|:751630-753235	80.1356	79.9164	28.3051	25.0767
ELA1	YNL230C	ref|NC_001146|:217522-218662	46.6695	53.1227	38.7571	61.3457
ELC1	YPL046C	ref|NC_001148|:466643-466943	107.562	98.1842	106.805	137.844
ELF1	YKL160W	ref|NC_001143|:153268-153706	917.172	936.073	1194.79	965.53
ELG1	YOR144C	ref|NC_001147|:602716-605092	10.7065	8.61653	9.3978	7.3629
ELM1	YKL048C	ref|NC_001143|:347213-349136	11.0255	9.80459	9.10063	10.2905
ELO1	YJL196C	ref|NC_001142|:67849-68782	224.465	260.869	204.421	123.059
ELP2	YGR200C	ref|NC_001139|:899903-902270	63.2636	38.9108	32.8569	20.0947
ELP3	YPL086C	ref|NC_001148|:384772-386446	83.9868	59.8575	33.6152	18.2477
ELP4	YPL101W	ref|NC_001148|:360208-361579	69.8245	51.3162	57.9179	43.0068
ELP6	YMR312W	ref|NC_001145|:898404-899226	76.7675	70.2858	74.8457	43.6879
EMC1	YCL045C	ref|NC_001135|:44622-46905	177.253	110.943	103.03	82.9457
EMC2	YJR088C	ref|NC_001142|:586494-587373	98.5552	85.9297	100.376	92.3468
EMC4	YGL231C	ref|NC_001139|:63047-63620	245.173	204.416	117.797	129.008
EMC6	YLL014W	ref|NC_001144|:121321-121648	180.317	190.052	180.376	137.019
EMG1	YLR186W	ref|NC_001144|:523631-524390	79.5467	61.745	39.3212	25.3892
